school_id,system_id,sctype,gender,ethnicity,cltype,tdegree,tyear,lunch,read_old,read,math_old,math
63,30,rural,female,cauc,small,bachelor,1,free,568,587,579,593
20,11,suburban,female,afam,regular+aide,bachelor,4,non-free,588,644,579,639
5,4,rural,female,cauc,regular+aide,bachelor,23,non-free,573,599,550,583
50,21,rural,male,cauc,regular,master,8,non-free,596,626,590,618
69,35,rural,male,cauc,regular,bachelor,7,non-free,614,641,639,684
79,41,rural,male,cauc,small,bachelor,14,free,608,665,603,648
5,4,rural,male,cauc,regular,bachelor,8,free,608,597,579,589
41,17,suburban,female,cauc,regular,master,19,non-free,586,606,603,631
19,11,inner-city,female,afam,regular+aide,bachelor,26,free,520,578,540,606
78,41,rural,female,cauc,regular,specialist,13,free,596,606,587,667
11,8,rural,female,afam,small,bachelor,14,free,569,606,584,596
66,32,rural,female,cauc,small,bachelor,24,free,608,654,546,606
38,14,rural,male,cauc,regular,bachelor,3,non-free,622,633,615,645
69,35,rural,male,cauc,regular+aide,bachelor,12,non-free,552,578,574,554
43,18,suburban,male,cauc,small,bachelor,6,non-free,659,728,632,684
52,22,suburban,male,cauc,regular,bachelor,15,non-free,586,631,561,589
63,30,rural,female,cauc,regular,bachelor,9,free,566,565,552,580
77,40,rural,female,cauc,small,bachelor,2,non-free,643,647,568,610
79,41,rural,male,cauc,small,master,12,non-free,577,622,593,691
29,11,inner-city,male,afam,regular,bachelor,5,free,596,608,620,672
59,26,urban,male,cauc,small,bachelor,13,free,549,580,587,614
60,27,urban,male,cauc,small,bachelor,14,free,542,612,530,549
51,22,suburban,female,cauc,regular+aide,master,32,non-free,568,588,548,582
27,11,inner-city,male,afam,regular,master,14,free,582,622,611,642
9,6,urban,female,cauc,regular+aide,master,16,non-free,669,675,659,700
39,15,rural,female,cauc,regular,master,18,non-free,611,610,603,642
33,11,inner-city,male,afam,regular+aide,bachelor,18,free,577,612,577,614
26,11,inner-city,male,afam,regular+aide,master,13,free,539,531,533,562
50,21,rural,male,cauc,regular,master,8,free,526,577,522,585
5,4,rural,female,afam,small,master,13,non-free,588,590,517,582
40,16,rural,female,cauc,small,bachelor,4,free,596,606,572,582
9,6,urban,female,cauc,small,bachelor,8,free,579,624,557,589
9,6,urban,female,cauc,small,bachelor,9,free,577,629,545,599
10,7,urban,male,cauc,small,bachelor,36,non-free,637,686,620,700
45,18,inner-city,male,afam,regular,bachelor,3,free,555,675,615,608
80,42,rural,female,cauc,regular,master,13,non-free,659,686,626,663
